ticket_title,ticket_price,ticket_description,ticket_venue,ticket_booking_link,ticket_booking_provider,ticket_booking_datetime,ticket_created_at,ticket_image_url,category_id,ticket_event_start_datetime,ticket_event_end_datetime
뮤지컬 <와일드 그레이>,"R석77,000원; S석55,000원; 시야방해석30,000원",없음,링크아트센터 벅스홀,http://www.ticketlink.co.kr/product/55835,티켓링크,2025-05-30 11:00:00,2025-06-05 10:10:20.253632,https://image.toast.com/aaaaab/ticketlink/TKL_4/main0411(4).jpg,2,2025-05-21,2025-08-17
뮤지컬 머피,"전석60,000원",없음,대학로 예그린씨어터,http://www.ticketlink.co.kr/product/56650,티켓링크,2025-05-30 15:00:00,2025-06-05 10:10:22.890878,https://image.toast.com/aaaaab/ticketlink/TKL_3/pst_0528.jpg,2,2025-06-03,2025-08-24
뮤직드라마 <불편한 편의점> - 제주,"VIP석88,000원; R석77,000원; S석66,000원",없음,제주한라아트홀 대극장,http://www.ticketlink.co.kr/product/56719,티켓링크,2025-06-02 16:00:00,2025-06-05 10:10:26.512867,https://image.toast.com/aaaaab/ticketlink/TKL_5/main0531(4).jpg,2,2025-06-02,2025-08-31
뮤지컬 <기적소리> - 서울,"VIP석88,000원; R석66,000원; S석55,000원",없음,KT&G 상상마당 대치아트홀,http://www.ticketlink.co.kr/product/56460,티켓링크,2025-05-27 16:00:00,2025-06-05 10:10:34.459960,https://image.toast.com/aaaaab/ticketlink/TKL_3/g_pst_0520.jpg,2,2025-06-27,2025-06-29
뮤지컬 <더 크리처>,"R석66,000원; S석55,000원",없음,대학로 자유극장,http://www.ticketlink.co.kr/product/56118,티켓링크,2025-06-09 14:00:00,2025-06-05 10:10:36.728904,https://image.toast.com/aaaaab/ticketlink/TKL_6/main0501.jpg,2,2025-06-16,2025-08-31
뮤지컬 <두 낫 디스터브>,"R석66,000원; S석44,000원",없음,NOL 서경스퀘어 스콘 1관,http://www.ticketlink.co.kr/product/56177,티켓링크,예매링크 참조,2025-06-05 10:10:39.987633,https://image.toast.com/aaaaab/ticketlink/TKL_9/DND_poster_420x594_0507.jpg,2,2025-06-10,2025-08-31
쇼뮤지컬 Again <드림하이> 앵콜,"VIP석150,000원; R석130,000원; S석90,000원; A석70,000원",없음,디큐브 링크아트센터,http://www.ticketlink.co.kr/product/56520,티켓링크,2025-05-26 16:00:00,2025-06-05 10:10:43.843325,https://image.toast.com/aaaaab/ticketlink/TKL_5/main0522(2).jpg,2,2025-06-17,2025-07-20
뮤지컬 <마하고니>,"R석77,000원; S석66,000원; A석55,000원",없음,링크아트센터 페이코홀,http://www.ticketlink.co.kr/product/56465,티켓링크,2025-06-05 14:00:00,2025-06-05 10:10:46.745658,https://image.toast.com/aaaaab/ticketlink/TKL_4/ma_main_0520.jpg,2,2025-06-17,2025-08-31
뮤지컬 위대한개츠비(The Great Gatsby) - 서울 오리지널 프로덕션,"VIP석190,000원; R석160,000원; S석130,000원; A석90,000원",없음,GS아트센터,http://www.ticketlink.co.kr/product/56382,티켓링크,2025-05-20 14:00:00,2025-06-05 10:10:51.737212,https://image.toast.com/aaaaab/ticketlink/TKL_5/gat_pst_0516.jpg,2,2025-08-01,2025-11-09
뮤지컬 <개와 고양이의 시간>,"R석70,000원; S석55,000원; 시야제한석20,000원",없음,더굿씨어터,http://www.ticketlink.co.kr/product/55958,티켓링크,2025-06-09 14:00:00,2025-06-05 10:10:55.589125,https://image.toast.com/aaaaab/ticketlink/TKL_4/main0421.jpg,2,2025-05-21,2025-08-10
뮤지컬 <백작>,"R석70,000원; S석60,000원; A석40,000원",없음,링크아트센터드림 드림1관,http://www.ticketlink.co.kr/product/55400,티켓링크,2025-05-20 13:00:00,2025-06-05 10:10:58.752768,https://image.toast.com/aaaaab/ticketlink/TKL_8/포스터이미지.jpg,2,2025-04-16,2025-07-07
뮤지컬 <사랑은 비를 타고> 30주년 공연,"VIP석88,000원; R석66,000원",없음,백암아트홀,http://www.ticketlink.co.kr/product/55402,티켓링크,2025-05-27 14:00:00,2025-06-05 10:11:01.074102,https://image.toast.com/aaaaab/ticketlink/TKL_2/sabita_pst0321.jpg,2,2025-04-29,2025-07-13
뮤지컬 <이매지너리>,"전석66,000원",없음,링크아트센터드림 드림3관,http://www.ticketlink.co.kr/product/55104,티켓링크,2025-05-30 14:00:00,2025-06-05 10:11:05.901114,https://image.toast.com/aaaaab/ticketlink/TKL_1/imag_main_0307.jpg,2,2025-04-15,2025-07-06
뮤지컬 <6시 퇴근>,"R석66,000원",없음,링크아트센터드림 드림4관,http://www.ticketlink.co.kr/product/55073,티켓링크,2025-05-20 14:00:00,2025-06-05 10:11:08.940586,https://image.toast.com/aaaaab/ticketlink/TKL_3/main0304(2).jpg,2,2025-04-05,2025-06-29
[황우림] 데뷔 10주년 팬 콘서트,"일반석66,000원",없음,SA HALL,http://www.ticketlink.co.kr/product/56681,티켓링크,2025-06-05 11:00:00,2025-06-05 10:11:12.067708,https://image.toast.com/aaaaab/ticketlink/TKL_9/main0529(1).jpg,1,2025-06-28,2025-06-28
워터밤 서울 2025,"(금)5차 티켓_그린팀132,000원; (토)7차 티켓_그린팀154,000원; (토)7차 티켓_옐로우팀154,000원; (일)7차 티켓_그린팀154,000원; (일)7차 티켓_옐로우팀154,000원",없음,킨텍스 야외 글로벌 스테이지,http://www.ticketlink.co.kr/product/55882,티켓링크,2025-04-17 14:00:00,2025-06-05 10:11:15.831884,https://image.toast.com/aaaaab/ticketlink/TKL_8/main0415(4).jpg,1,2025-07-04,2025-07-06
워터밤 부산 2025,"일반154,000원",없음,부산 북항 일대,http://www.ticketlink.co.kr/product/55939,티켓링크,2025-05-23 15:00:00,2025-06-05 10:11:18.147657,https://image.toast.com/aaaaab/ticketlink/TKL_8/bs_pst_0523.jpg,1,2025-07-26,2025-07-26
SOMEDAY PLEROMA 2025,"일일권121,000원",없음,킨텍스 제2전시장 10홀,http://www.ticketlink.co.kr/product/56589,티켓링크,2025-06-02 18:00:00,2025-06-05 10:11:21.180410,https://image.toast.com/aaaaab/ticketlink/TKL_3/main0526(4).jpg,1,2025-06-28,2025-06-28
2025 신유 콘서트 '시작' - 서울,"R석132,000원; S석121,000원",없음,연세대학교 대강당,http://www.ticketlink.co.kr/product/56676,티켓링크,2025-05-30 17:00:00,2025-06-05 10:11:23.458220,https://image.toast.com/aaaaab/ticketlink/TKL_1/main0529(4).jpg,1,2025-07-06,2025-07-06
