ticket_title,ticket_event_datetime,ticket_price,ticket_venue,ticket_booking_link,ticket_booking_provider,ticket_booking_datetime,ticket_created_at,ticket_image_url,category_id
김경호 콘서트 - 대구,"2025.07.26 
                      - 2025.07.26","VIP석110,000원; R석99,000원",경북대학교 대강당,http://www.ticketlink.co.kr/product/56645,티켓링크,예매링크 참조,2025-06-04 17:03:54.209347,https://image.toast.com/aaaaab/ticketlink/TKL_8/KKH_PST_0528.jpg,1
2025MyK FESTA in 여수 K-POP 콘서트,"2025.06.13 
                      - 2025.06.15",전석0원,여수세계박람회 스카이타워 뒤,http://www.ticketlink.co.kr/product/56484,티켓링크,2025-05-30 16:00:00,2025-06-04 17:03:56.636877,https://image.toast.com/aaaaab/ticketlink/TKL_3/k-pop_main_0521.JPG,1
2025 이승철 콘서트 <오케스트락2> 인천공연,"2025.08.02 
                      - 2025.08.02","FS석198,000원; VIP석176,000원; R석154,000원",인스파이어 아레나,http://www.ticketlink.co.kr/product/56519,티켓링크,2025-05-26 14:00:00,2025-06-04 17:03:58.973391,https://image.toast.com/aaaaab/ticketlink/TKL_6/lsc_ic_pst_0522.jpg,1
2025 임창정 30주년 <촌스러운 콘서트>,,,,https://www.ticketlink.co.kr/bridge/1286,티켓링크,예매링크 참조,,,1
에반게리온 윈드 심포니 2025 in Seoul,"2025.06.20 
                      - 2025.06.21","VVIP석149,000원; VIP석145,000원; R석130,000원; S석113,000원; A석79,000원",경희대학교 평화의전당,http://www.ticketlink.co.kr/product/56438,티켓링크,2025-05-20 20:00:00,2025-06-04 17:04:01.847532,https://image.toast.com/aaaaab/ticketlink/TKL_4/main0519(2).jpg,1
20th Anniversary World Tour ‘FIVE O ONE’,"2025.07.12 
                      - 2025.07.13","VIP석198,000원; SS석165,000원; SSS석154,000원",올림픽공원 올림픽홀,http://www.ticketlink.co.kr/product/56356,티켓링크,예매링크 참조,2025-06-04 17:04:04.114737,https://image.toast.com/aaaaab/ticketlink/TKL_6/FIVE-O-ONE_PST_0526(1).jpg,1
메가필드뮤직페스티벌 2025,"2025.08.30 
                      - 2025.08.31",없음,"일산 킨텍스 제1전시장 4,5홀",http://www.ticketlink.co.kr/product/56302,티켓링크,예매링크 참조,2025-06-04 17:04:06.378184,https://image.toast.com/aaaaab/ticketlink/TKL_3/main_0514.jpg,1
2025 10CM 소극장 단독공연 <4.99999999>,"2025.06.18 
                      - 2025.06.29","전석121,000원",이화여자대학교 ECC 영산극장,http://www.ticketlink.co.kr/product/56185,티켓링크,예매링크 참조,2025-06-04 17:04:08.640413,https://image.toast.com/aaaaab/ticketlink/TKL_4/m0523(1).jpg,1
데니안 솔로 데뷔 18주년 팬미팅 < AHNswer >,"2025.06.07 
                      - 2025.06.07","전석99,000원",연세대학교 백주년기념관 콘서트홀,http://www.ticketlink.co.kr/product/56272,티켓링크,2025-05-14 20:00:00,2025-06-04 17:04:12.141718,https://image.toast.com/aaaaab/ticketlink/TKL_2/D0512.jpg,1
2025 인천펜타포트 락 페스티벌,"2025.08.01 
                      - 2025.08.03","레귤러 티켓_3일권240,000원; 레귤러 티켓_2일권(금/토)180,000원; 레귤러 티켓_2일권(토/일)180,000원; 레귤러 티켓_1일권(금)120,000원; 레귤러 티켓_1일권(토)120,000원",송도달빛축제공원,http://www.ticketlink.co.kr/product/56122,티켓링크,2025-05-19 14:00:00,2025-06-04 17:04:15.043836,https://image.toast.com/aaaaab/ticketlink/TKL_3/티켓링크_405x500.jpg,1
2025 김동하 Stand-up Tour < Life Goes On >,"2025.06.15 
                      - 2025.06.15","R석77,000원; S석66,000원",창원MBC홀,http://www.ticketlink.co.kr/product/55792,티켓링크,2025-04-10 10:00:00,2025-06-04 17:04:18.837536,https://image.toast.com/aaaaab/ticketlink/TKL_7/cw_main_0410.jpg,1
마르크 샤갈 특별전 : BEYOND TIME,"2025.05.23 
                      - 2025.09.21","성인25,000원; 청소년/어린이18,000원",예술의전당 한가람미술관 1층,http://www.ticketlink.co.kr/product/56476,티켓링크,예매링크 참조,2025-06-04 17:04:21.664480,https://image.toast.com/aaaaab/ticketlink/TKL_10/티켓링크-메인포스터_720x889.jpg,4
"문도픽사(Mundo Pixar) : 픽사, 상상의세계로","2025.05.05 
                      - 2025.06.29","성인45,000원; 청소년(14~19세)39,000원; 어린이(13세 이하)37,000원; 경로우대(65세 이상)37,000원; 3인 패밀리 패키지 (성인2+어린이 1인)109,000원",성수문화예술마당,http://www.ticketlink.co.kr/product/55739,티켓링크,2025-04-08 11:00:00,2025-06-04 17:04:25.539619,https://image.toast.com/aaaaab/ticketlink/TKL_7/poster최종.png,4
새나라 새미술: 조선 전기 미술 대전,"2025.06.10 
                      - 2025.08.31","개막기념 무료입장0원; 성인(만25~64세)8,000원; 청소년(만13~24세)6,000원; 어린이(만7~12세)4,000원; 문화가 있는 날(성인)4,000원",국립중앙박물관 특별전시실1,http://www.ticketlink.co.kr/product/56538,티켓링크,예매링크 참조,2025-06-04 17:04:34.424882,https://image.toast.com/aaaaab/ticketlink/TKL_1/main_720_250522.jpg,4
"마나모아나 - 신성한 바다의 예술, 오세아니아","2025.04.30 
                      - 2025.09.14","성인(만25~64세)5,000원; 어린이 및 청소년(만7~24세)3,000원",국립중앙박물관 특별전시실2,http://www.ticketlink.co.kr/product/55759,티켓링크,예매링크 참조,2025-06-04 17:04:39.026434,https://image.toast.com/aaaaab/ticketlink/TKL_5/리사이징_마나모아나-포스터리사이즈-720-889.jpg,4
에스더버니 특별전,"2025.06.28 
                      - 2025.07.15","일반권20,000원; 더보이즈 스페셜35,000원",예술의전당 한가람디자인미술관,http://www.ticketlink.co.kr/product/56085,티켓링크,예매링크 참조,2025-06-04 17:04:41.344346,https://image.toast.com/aaaaab/ticketlink/TKL_8/main_720(9).jpg,4
모네에서 앤디워홀까지,"2025.05.16 
                      - 2025.08.31","성인20,000원; 청소년16,000원; 어린이12,000원",세종문화회관 미술관,http://www.ticketlink.co.kr/product/56298,티켓링크,예매링크 참조,2025-06-04 17:04:44.997649,https://image.toast.com/aaaaab/ticketlink/TKL_1/mone_pst05313.jpg,4
[얼리버드] 앨리스 달튼 브라운 회고전,"2025.06.13 
                      - 2025.08.31","일반20,000원",더현대 서울 ALT.1,http://www.ticketlink.co.kr/product/56015,티켓링크,2025-05-26 00:00:00,2025-06-04 17:04:49.055200,https://image.toast.com/aaaaab/ticketlink/TKL_7/main_720_250428.jpg,4
[얼리버드] 캐서린 번하드 전,"2025.06.06 
                      - 2025.07.06","성인22,000원; 청소년17,000원; 어린이15,000원",예술의전당 한가람미술관 3층,http://www.ticketlink.co.kr/product/56001,티켓링크,2025-05-01 10:00:00,2025-06-04 17:04:51.340952,https://image.toast.com/aaaaab/ticketlink/TKL_4/tl_720-889_0423.jpg,4
앤서니 브라운展,"2025.05.02 
                      - 2025.09.28","성인 (만19세 이상)22,000원; 어린이/청소년(24개월~만18세)16,000원; 어린이/청소년 포함 3인권45,000원; 어린이/청소년 포함 4인권59,000원",예술의전당 한가람미술관 2층,http://www.ticketlink.co.kr/product/56082,티켓링크,2025-05-02 00:00:00,2025-06-04 17:04:54.181268,https://image.toast.com/aaaaab/ticketlink/TKL_3/[2025앤서니]메인포스터_0513.jpg,4
세르주 블로크 展,"2025.05.29 
                      - 2025.08.17","성인15,000원; 청소년/어린이10,000원",예술의전당 한가람미술관 제7전시실,http://www.ticketlink.co.kr/product/56370,티켓링크,예매링크 참조,2025-06-04 17:04:57.202626,https://image.toast.com/aaaaab/ticketlink/TKL_3/main_720(2).jpg,4
뉴욕의 거장들: 잭슨 폴록과 마크 로스코의 친구들,"2025.01.10 
                      - 2025.07.12",없음,노원문화예술회관 노원아트뮤지엄,http://www.ticketlink.co.kr/product/52919,티켓링크,2024-12-10 00:00:00,2025-06-04 17:05:00.097801,https://image.toast.com/aaaaab/ticketlink/TKL_10/a01(1).jpg,4
퓰리처상 사진전 - 대구,"2025.04.25 
                      - 2025.10.12","성인20,000원; 청소년,어린이15,000원",뮤씨엄 대구점,http://www.ticketlink.co.kr/product/56234,티켓링크,2025-05-13 09:00:00,2025-06-04 17:05:05.047782,https://image.toast.com/aaaaab/ticketlink/TKL_5/pul_pst_0509.jpg,4
파리의 휴일,"2024.07.13 
                      - 2025.08.31","성인26,000원; 청소년23,000원; 어린이20,000원",K 현대미술관,http://www.ticketlink.co.kr/product/56528,티켓링크,예매링크 참조,2025-06-04 17:05:17.659803,https://image.toast.com/aaaaab/ticketlink/TKL_8/paris_pst_0523.jpg,4
소피 폰 헬러만:축제,"2025.04.09 
                      - 2025.07.06","성인8,000원",스페이스K 서울,http://www.ticketlink.co.kr/product/55393,티켓링크,예매링크 참조,2025-06-04 17:05:19.921389,https://image.toast.com/aaaaab/ticketlink/TKL_6/Festival_pst0319.png,4
파충류 동반자,"2025.06.28 
                      - 2025.06.29","성인12,000원; 청소년 (초등학생~고등학생)10,000원; 어린이 (36개월 ~ )7,000원",SETEC,http://www.ticketlink.co.kr/product/56084,티켓링크,2025-05-07 10:00:00,2025-06-04 17:05:22.234804,https://image.toast.com/aaaaab/ticketlink/TKL_10/main_720(5).jpg,4
화랑미술제 in 수원,"2025.06.27 
                      - 2025.06.29","성인20,000원; 청소년/어린이15,000원","수원컨벤션센터 1층, 3층",http://www.ticketlink.co.kr/product/56212,티켓링크,예매링크 참조,2025-06-04 17:05:25.650541,https://image.toast.com/aaaaab/ticketlink/TKL_8/main_720(8).jpg,4
